Hybrid,q,eta,tshift,tmatch_amp,tmatch_freq,l,e,f,Match_Num,Match_Anly
1355,1,0.25,-60,-61.13104,-1270.25946,1.423,0.173,16.53,99.78,99.78
1356,1,0.25,35,-30.2792,-3369.34414,1.574,0.23,15.63,97.54,97.54
1358,1,0.25,-50,-50.87268,-545.85333,-2.682,0.322,13.51,99.28,99.28
1359,1,0.25,-75,-75.91441,-931.06574,1.834,0.317,13.92,98.98,98.98
1360,1,0.25,85,-50.20376,-2168.93735,-0.395,0.416,12.18,98.01,98.01
1361,1,0.25,90,-55.09281,-2012.10546,-1.019,0.416,11.95,97.68,97.68
1364,2,0.22222,0,-30.13118,-4376.08005,-0.181,0.172,16.68,98.93,98.93
1365,2,0.22222,85,-125.07387,-3448.12966,-1.127,0.209,15.72,97.24,97.24
1366,2,0.22222,45,-30.34494,-2467.6763,-2.89,0.32,13.76,98.78,98.78
1367,2,0.22222,-60,-61.23333,-1583.97765,1.687,0.32,13.84,97.81,97.81
1368,2,0.22222,35,-29.8486,-2900.12608,0.42,0.324,13.36,97.58,97.58
1372,3,0.1875,-35,-35.93297,-2207.16569,3.005,0.3,13.75,97.82,97.82
1373,3,0.1875,105,-29.94578,-2654.06005,1.682,0.3,13.74,98.69,98.68
