q,fmin,e0,l0, M,distance,delta_t,ANGLE
3,20.0611830829493,0.081832591319223,2.46212992147826,60,1,1./4096,0
2,19.7949001555792,0.087169993403669,-1.88295922869842,60,1,1./4096,0
1,20.6482244499472,0.105710000317468,-2.07958287770352,60,1,1./4096,0
1,19.7837703216698,0.103182625148778,2.85775401833793,60,1,1./4096,0
1,15.3209971094456,0.10052092432332,-2.5144648787845,60,1,1./4096,0
2,19.8164126224165,0.088537822749717,-2.00718116899981,60,1,1./4096,0
2,20.0375518720971,0.103412169639394,-2.1695334916741,60,1,1./4096,0
2,20.311201758367,0.097066293348458,-2.45724589881858,60,1,1./4096,0
2,20.56,0.101481617907933,-0.993201439220792,60,1,1./4096,0
3,19.8002243161185,0.072760724053726,2.7918570833267,60,1,1./4096,0
3,20.2662385730314,0.084742043293009,1.59917532754081,60,1,1./4096,0
